Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2784,Timing Point,4.5,5.0,9.2,9.1,0,0,0,0,0,0,1,461.538461538462,4,0,0
Row_1,2785,Hit Object,4.5,5.0,9.2,9.1,69,12,0,0,1.0,0,0,0,0,0,0
Row_2,2900,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_3,3015,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_4,3131,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_5,3361,Hit Object,4.5,5.0,9.2,9.1,5,12,0,0,1.0,0,0,0,0,0,0
Row_6,3477,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_7,3592,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_8,3707,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_9,3938,Hit Object,4.5,5.0,9.2,9.1,37,4,0,0,1.0,0,0,0,0,0,0
Row_10,4169,Hit Object,4.5,5.0,9.2,9.1,1,4,0,0,1.0,0,0,0,0,0,0
Row_11,4400,Hit Object,4.5,5.0,9.2,9.1,1,4,0,0,1.0,0,0,0,0,0,0
Row_12,4631,Hit Object,4.5,5.0,9.2,9.1,5,12,0,0,1.0,0,0,0,0,0,0
Row_13,4746,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_14,4861,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_15,4977,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_16,5207,Hit Object,4.5,5.0,9.2,9.1,37,12,0,0,1.0,0,0,0,0,0,0
Row_17,5323,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_18,5438,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_19,5553,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_20,5785,Hit Object,4.5,5.0,9.2,9.1,5,4,0,0,1.0,0,0,0,0,0,0
Row_21,6014,Hit Object,4.5,5.0,9.2,9.1,1,4,0,0,1.0,0,0,0,0,0,0
Row_22,6245,Hit Object,4.5,5.0,9.2,9.1,1,4,0,0,1.0,0,0,0,0,0,0
Row_23,6477,Hit Object,4.5,5.0,9.2,9.1,38,0,6592,1,1.0,0,0,0,0,0,0
Row_24,6708,Hit Object,4.5,5.0,9.2,9.1,2,0,6823,1,1.0,0,0,0,0,0,0
Row_25,6938,Hit Object,4.5,5.0,9.2,9.1,1,8,0,0,1.0,0,0,0,0,0,0
Row_26,7054,Hit Object,4.5,5.0,9.2,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_27,7169,Hit Object,4.5,5.0,9.2,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_28,7285,Hit Object,4.5,5.0,9.2,9.1,6,0,7400,1,1.0,0,0,0,0,0,0
Row_29,7515,Hit Object,4.5,5.0,9.2,9.1,2,0,7630,1,1.0,0,0,0,0,0,0
Row_30,7746,Hit Object,4.5,5.0,9.2,9.1,1,0,0,0,1.0,0,0,0,0,0,0
Row_31,7861,Hit Object,4.5,5.0,9.2,9.1,2,0,8091,1,1.0,0,0,0,0,0,0
Row_32,8317,Timing Point,4.5,5.0,9.2,9.1,0,0,0,0,0,0,0,-100.0,4,0,0
