Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2784,Timing Point,4.0,3.0,6.5,8.0,0,0,0,0,0,0,1,461.538461538462,4,0,0
Row_1,2784,Hit Object,4.0,3.0,6.5,8.0,70,0,3130,3,1.0,0,0,0,0,0,0
Row_2,3360,Hit Object,4.0,3.0,6.5,8.0,2,0,3706,3,1.0,0,0,0,0,0,0
Row_3,3937,Hit Object,4.0,3.0,6.5,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_4,4168,Hit Object,4.0,3.0,6.5,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_5,4399,Hit Object,4.0,3.0,6.5,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_6,4630,Hit Object,4.0,3.0,6.5,8.0,6,0,4976,3,1.0,0,0,0,0,0,0
Row_7,5207,Hit Object,4.0,3.0,6.5,8.0,2,0,5553,3,1.0,0,0,0,0,0,0
Row_8,5784,Hit Object,4.0,3.0,6.5,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_9,6014,Hit Object,4.0,3.0,6.5,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_10,6245,Hit Object,4.0,3.0,6.5,8.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_11,6476,Hit Object,4.0,3.0,6.5,8.0,38,0,6706,1,1.0,0,0,0,0,0,0
Row_12,6937,Hit Object,4.0,3.0,6.5,8.0,2,0,7167,2,1.0,0,0,0,0,0,0
Row_13,7284,Hit Object,4.0,3.0,6.5,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_14,7514,Hit Object,4.0,3.0,6.5,8.0,2,0,7744,1,1.0,0,0,0,0,0,0
Row_15,7860,Hit Object,4.0,3.0,6.5,8.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_16,7976,Hit Object,4.0,3.0,6.5,8.0,2,0,8206,1,1.0,0,0,0,0,0,0
Row_17,8317,Timing Point,4.0,3.0,6.5,8.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_18,8322,Timing Point,4.0,3.0,6.5,8.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_19,8322,Hit Object,4.0,3.0,6.5,8.0,6,0,8437,1,1.0,0,0,0,0,0,0
Row_20,8548,Timing Point,4.0,3.0,6.5,8.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_21,8553,Timing Point,4.0,3.0,6.5,8.0,0,0,0,0,0,0,0,-100.0,4,0,0
Row_22,8553,Hit Object,4.0,3.0,6.5,8.0,2,0,8668,1,1.0,0,0,0,0,0,0
