Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2784,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,1,461.538461538462,4,0,0
Row_1,2784,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-200.0,4,0,0
Row_2,2784,Hit Object,4.5,3.8,8.0,8.8,69,12,0,0,1.0,0,0,0,0,0,0
Row_3,2899,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_4,3014,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_5,3130,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_6,3360,Hit Object,4.5,3.8,8.0,8.8,1,12,0,0,1.0,0,0,0,0,0,0
Row_7,3476,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_8,3591,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_9,3706,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_10,3937,Hit Object,4.5,3.8,8.0,8.8,6,0,4398,2,1.0,0,0,0,0,0,0
Row_11,4630,Hit Object,4.5,3.8,8.0,8.8,37,12,0,0,1.0,0,0,0,0,0,0
Row_12,4745,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_13,4860,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_14,4976,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_15,5207,Hit Object,4.5,3.8,8.0,8.8,1,12,0,0,1.0,0,0,0,0,0,0
Row_16,5322,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_17,5437,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_18,5553,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_19,5784,Hit Object,4.5,3.8,8.0,8.8,6,0,6245,2,1.0,0,0,0,0,0,0
Row_20,6476,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_21,6476,Hit Object,4.5,3.8,8.0,8.8,38,0,6937,2,1.0,0,0,0,0,0,0
Row_22,7053,Hit Object,4.5,3.8,8.0,8.8,2,0,7168,1,1.0,0,0,0,0,0,0
Row_23,7284,Hit Object,4.5,3.8,8.0,8.8,5,8,0,0,1.0,0,0,0,0,0,0
Row_24,7514,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,7745,Hit Object,4.5,3.8,8.0,8.8,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,7860,Hit Object,4.5,3.8,8.0,8.8,2,0,8206,3,1.0,0,0,0,0,0,0
Row_27,8317,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_28,8322,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_29,8322,Hit Object,4.5,3.8,8.0,8.8,37,8,0,0,1.0,0,0,0,0,0,0
Row_30,8437,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,8548,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_32,8552,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_33,8553,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_34,8668,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_35,8779,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_36,8783,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_37,8784,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_38,8899,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_39,9009,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_40,9014,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_41,9014,Hit Object,4.5,3.8,8.0,8.8,6,0,9187,3,1.0,0,0,0,0,0,0
Row_42,9067,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_43,9072,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_44,9240,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_45,9245,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-66.6666666666667,4,0,0
Row_46,9245,Hit Object,4.5,3.8,8.0,8.8,6,0,9706,1,1.0,0,0,0,0,0,0
Row_47,10168,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-57.1428571428571,4,0,0
Row_48,10168,Hit Object,4.5,3.8,8.0,8.8,38,0,10283,1,1.0,0,0,0,0,0,0
Row_49,10399,Hit Object,4.5,3.8,8.0,8.8,2,0,10514,1,1.0,0,0,0,0,0,0
Row_50,10630,Hit Object,4.5,3.8,8.0,8.8,6,0,10745,1,1.0,0,0,0,0,0,0
Row_51,10860,Hit Object,4.5,3.8,8.0,8.8,2,0,10975,1,1.0,0,0,0,0,0,0
Row_52,11091,Hit Object,4.5,3.8,8.0,8.8,2,0,11321,1,1.0,0,0,0,0,0,0
Row_53,11437,Hit Object,4.5,3.8,8.0,8.8,2,0,11667,1,1.0,0,0,0,0,0,0
Row_54,11784,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_55,12014,Hit Object,4.5,3.8,8.0,8.8,38,0,12129,1,1.0,0,0,0,0,0,0
Row_56,12245,Hit Object,4.5,3.8,8.0,8.8,2,0,12360,1,1.0,0,0,0,0,0,0
Row_57,12476,Hit Object,4.5,3.8,8.0,8.8,6,0,12591,1,1.0,0,0,0,0,0,0
Row_58,12707,Hit Object,4.5,3.8,8.0,8.8,2,0,12822,1,1.0,0,0,0,0,0,0
Row_59,12937,Hit Object,4.5,3.8,8.0,8.8,2,0,13167,1,1.0,0,0,0,0,0,0
Row_60,13284,Hit Object,4.5,3.8,8.0,8.8,2,0,13514,1,1.0,0,0,0,0,0,0
Row_61,13630,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_62,13860,Hit Object,4.5,3.8,8.0,8.8,38,0,13975,1,1.0,0,0,0,0,0,0
Row_63,14091,Hit Object,4.5,3.8,8.0,8.8,2,0,14206,1,1.0,0,0,0,0,0,0
Row_64,14322,Hit Object,4.5,3.8,8.0,8.8,6,0,14437,1,1.0,0,0,0,0,0,0
Row_65,14553,Hit Object,4.5,3.8,8.0,8.8,2,0,14668,1,1.0,0,0,0,0,0,0
Row_66,14784,Hit Object,4.5,3.8,8.0,8.8,2,0,15014,1,1.0,0,0,0,0,0,0
Row_67,15130,Hit Object,4.5,3.8,8.0,8.8,2,0,15360,1,1.0,0,0,0,0,0,0
Row_68,15476,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_69,15707,Hit Object,4.5,3.8,8.0,8.8,38,0,15822,1,1.0,0,0,0,0,0,0
Row_70,15937,Hit Object,4.5,3.8,8.0,8.8,2,0,16052,1,1.0,0,0,0,0,0,0
Row_71,16168,Hit Object,4.5,3.8,8.0,8.8,6,0,16283,1,1.0,0,0,0,0,0,0
Row_72,16399,Hit Object,4.5,3.8,8.0,8.8,2,0,16514,1,1.0,0,0,0,0,0,0
Row_73,16630,Hit Object,4.5,3.8,8.0,8.8,2,0,16860,1,1.0,0,0,0,0,0,0
Row_74,16976,Hit Object,4.5,3.8,8.0,8.8,2,0,17206,1,1.0,0,0,0,0,0,0
Row_75,17322,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_76,17553,Hit Object,4.5,3.8,8.0,8.8,38,0,17668,1,1.0,0,0,0,0,0,0
Row_77,17784,Hit Object,4.5,3.8,8.0,8.8,2,0,17899,1,1.0,0,0,0,0,0,0
Row_78,18014,Hit Object,4.5,3.8,8.0,8.8,6,0,18129,1,1.0,0,0,0,0,0,0
Row_79,18245,Hit Object,4.5,3.8,8.0,8.8,2,0,18360,1,1.0,0,0,0,0,0,0
Row_80,18476,Hit Object,4.5,3.8,8.0,8.8,2,0,18706,1,1.0,0,0,0,0,0,0
Row_81,18822,Hit Object,4.5,3.8,8.0,8.8,2,0,19052,1,1.0,0,0,0,0,0,0
Row_82,19168,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_83,19399,Hit Object,4.5,3.8,8.0,8.8,38,0,19514,1,1.0,0,0,0,0,0,0
Row_84,19630,Hit Object,4.5,3.8,8.0,8.8,2,0,19745,1,1.0,0,0,0,0,0,0
Row_85,19860,Hit Object,4.5,3.8,8.0,8.8,6,0,19975,1,1.0,0,0,0,0,0,0
Row_86,20091,Hit Object,4.5,3.8,8.0,8.8,2,0,20206,1,1.0,0,0,0,0,0,0
Row_87,20322,Hit Object,4.5,3.8,8.0,8.8,2,0,20552,1,1.0,0,0,0,0,0,0
Row_88,20668,Hit Object,4.5,3.8,8.0,8.8,2,0,20898,1,1.0,0,0,0,0,0,0
Row_89,21014,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_90,21245,Hit Object,4.5,3.8,8.0,8.8,38,0,21360,1,1.0,0,0,0,0,0,0
Row_91,21476,Hit Object,4.5,3.8,8.0,8.8,2,0,21591,1,1.0,0,0,0,0,0,0
Row_92,21707,Hit Object,4.5,3.8,8.0,8.8,6,0,21822,1,1.0,0,0,0,0,0,0
Row_93,21937,Hit Object,4.5,3.8,8.0,8.8,2,0,22052,1,1.0,0,0,0,0,0,0
Row_94,22168,Hit Object,4.5,3.8,8.0,8.8,2,0,22398,1,1.0,0,0,0,0,0,0
Row_95,22514,Hit Object,4.5,3.8,8.0,8.8,2,0,22744,1,1.0,0,0,0,0,0,0
Row_96,22860,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_97,23091,Hit Object,4.5,3.8,8.0,8.8,38,0,23206,1,1.0,0,0,0,0,0,0
Row_98,23322,Hit Object,4.5,3.8,8.0,8.8,2,0,23437,1,1.0,0,0,0,0,0,0
Row_99,23553,Hit Object,4.5,3.8,8.0,8.8,6,0,23668,1,1.0,0,0,0,0,0,0
Row_100,23784,Hit Object,4.5,3.8,8.0,8.8,2,0,23899,1,1.0,0,0,0,0,0,0
Row_101,24014,Hit Object,4.5,3.8,8.0,8.8,2,0,24244,1,1.0,0,0,0,0,0,0
Row_102,24360,Hit Object,4.5,3.8,8.0,8.8,2,0,24590,1,1.0,0,0,0,0,0,0
Row_103,24707,Hit Object,4.5,3.8,8.0,8.8,1,8,0,0,1.0,0,0,0,0,0,0
Row_104,24932,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-57.1428571428571,4,0,0
Row_105,24937,Timing Point,4.5,3.8,8.0,8.8,0,0,0,0,0,0,0,-100.0,4,0,0
Row_106,24937,Hit Object,4.5,3.8,8.0,8.8,38,0,25167,1,1.0,0,0,0,0,0,0
Row_107,25399,Hit Object,4.5,3.8,8.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_108,25514,Hit Object,4.5,3.8,8.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
Row_109,25629,Hit Object,4.5,3.8,8.0,8.8,1,10,0,0,1.0,0,0,0,0,0,0
Row_110,25745,Hit Object,4.5,3.8,8.0,8.8,1,2,0,0,1.0,0,0,0,0,0,0
