Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2784,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,1,461.538461538462,4,0,0
Row_1,2784,Hit Object,3.5,2.6,4.0,5.5,70,0,3130,1,1.0,0,0,0,0,0,0
Row_2,3360,Hit Object,3.5,2.6,4.0,5.5,2,0,3706,1,1.0,0,0,0,0,0,0
Row_3,4630,Hit Object,3.5,2.6,4.0,5.5,2,0,4976,1,1.0,0,0,0,0,0,0
Row_4,5207,Hit Object,3.5,2.6,4.0,5.5,2,0,5553,1,1.0,0,0,0,0,0,0
Row_5,6476,Hit Object,3.5,2.6,4.0,5.5,6,0,6706,1,1.0,0,0,0,0,0,0
Row_6,6937,Hit Object,3.5,2.6,4.0,5.5,2,0,7283,1,1.0,0,0,0,0,0,0
Row_7,7514,Hit Object,3.5,2.6,4.0,5.5,2,0,7860,1,1.0,0,0,0,0,0,0
Row_8,8091,Hit Object,3.5,2.6,4.0,5.5,1,0,0,0,1.0,0,0,0,0,0,0
Row_9,8317,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_10,8322,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_11,8322,Hit Object,3.5,2.6,4.0,5.5,38,0,8552,1,1.0,0,0,0,0,0,0
Row_12,8548,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_13,8553,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_14,8779,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_15,8784,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_16,8784,Hit Object,3.5,2.6,4.0,5.5,2,0,9014,1,1.0,0,0,0,0,0,0
Row_17,9009,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_18,9014,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_19,9067,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_20,9072,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_21,9240,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_22,9245,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_23,9245,Hit Object,3.5,2.6,4.0,5.5,1,4,0,0,1.0,0,0,0,0,0,0
Row_24,9707,Hit Object,3.5,2.6,4.0,5.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,10168,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_26,10168,Hit Object,3.5,2.6,4.0,5.5,5,6,0,0,1.0,0,0,0,0,0,0
Row_27,10399,Hit Object,3.5,2.6,4.0,5.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_28,10630,Hit Object,3.5,2.6,4.0,5.5,2,0,10860,1,1.0,0,0,0,0,0,0
Row_29,11091,Hit Object,3.5,2.6,4.0,5.5,2,0,11783,2,1.0,0,0,0,0,0,0
Row_30,12014,Hit Object,3.5,2.6,4.0,5.5,1,6,0,0,1.0,0,0,0,0,0,0
Row_31,12245,Hit Object,3.5,2.6,4.0,5.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_32,12476,Hit Object,3.5,2.6,4.0,5.5,2,0,12706,1,1.0,0,0,0,0,0,0
Row_33,12937,Hit Object,3.5,2.6,4.0,5.5,2,0,13283,1,1.0,0,0,0,0,0,0
Row_34,13630,Hit Object,3.5,2.6,4.0,5.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_35,13860,Hit Object,3.5,2.6,4.0,5.5,38,0,14090,1,1.0,0,0,0,0,0,0
Row_36,14322,Hit Object,3.5,2.6,4.0,5.5,2,0,14552,1,1.0,0,0,0,0,0,0
Row_37,14784,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_38,15130,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_39,15476,Hit Object,3.5,2.6,4.0,5.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_40,15707,Hit Object,3.5,2.6,4.0,5.5,6,0,15937,1,1.0,0,0,0,0,0,0
Row_41,16168,Hit Object,3.5,2.6,4.0,5.5,2,0,16398,1,1.0,0,0,0,0,0,0
Row_42,16630,Hit Object,3.5,2.6,4.0,5.5,2,0,17322,2,1.0,0,0,0,0,0,0
Row_43,17553,Hit Object,3.5,2.6,4.0,5.5,37,6,0,0,1.0,0,0,0,0,0,0
Row_44,17784,Hit Object,3.5,2.6,4.0,5.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_45,18014,Hit Object,3.5,2.6,4.0,5.5,2,0,18244,1,1.0,0,0,0,0,0,0
Row_46,18476,Hit Object,3.5,2.6,4.0,5.5,2,0,18822,1,1.0,0,0,0,0,0,0
Row_47,19168,Hit Object,3.5,2.6,4.0,5.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_48,19399,Hit Object,3.5,2.6,4.0,5.5,2,0,19629,1,1.0,0,0,0,0,0,0
Row_49,19860,Hit Object,3.5,2.6,4.0,5.5,2,0,20090,1,1.0,0,0,0,0,0,0
Row_50,20322,Hit Object,3.5,2.6,4.0,5.5,2,0,21014,2,1.0,0,0,0,0,0,0
Row_51,21245,Hit Object,3.5,2.6,4.0,5.5,5,6,0,0,1.0,0,0,0,0,0,0
Row_52,21476,Hit Object,3.5,2.6,4.0,5.5,1,10,0,0,1.0,0,0,0,0,0,0
Row_53,21707,Hit Object,3.5,2.6,4.0,5.5,2,0,21937,1,1.0,0,0,0,0,0,0
Row_54,22168,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_55,22514,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_56,22860,Hit Object,3.5,2.6,4.0,5.5,1,8,0,0,1.0,0,0,0,0,0,0
Row_57,23091,Hit Object,3.5,2.6,4.0,5.5,38,0,23321,1,1.0,0,0,0,0,0,0
Row_58,23553,Hit Object,3.5,2.6,4.0,5.5,2,0,23783,1,1.0,0,0,0,0,0,0
Row_59,24014,Hit Object,3.5,2.6,4.0,5.5,2,0,24706,2,1.0,0,0,0,0,0,0
Row_60,24932,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-100.0,4,0,0
Row_61,24937,Timing Point,3.5,2.6,4.0,5.5,0,0,0,0,0,0,0,-111.111111111111,4,0,0
Row_62,24937,Hit Object,3.5,2.6,4.0,5.5,5,4,0,0,1.0,0,0,0,0,0,0
Row_63,25399,Hit Object,3.5,2.6,4.0,5.5,2,0,25629,1,1.0,0,0,0,0,0,0
Row_64,25860,Hit Object,3.5,2.6,4.0,5.5,2,0,26206,1,1.0,0,0,0,0,0,0
Row_65,26437,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_66,26668,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_67,27245,Hit Object,3.5,2.6,4.0,5.5,2,0,27475,1,1.0,0,0,0,0,0,0
Row_68,27707,Hit Object,3.5,2.6,4.0,5.5,2,0,28053,1,1.0,0,0,0,0,0,0
Row_69,28284,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
Row_70,28514,Hit Object,3.5,2.6,4.0,5.5,1,2,0,0,1.0,0,0,0,0,0,0
