Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2784,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,1,461.538461538462,4,0,0
Row_1,2784,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-25.0,4,0,0
Row_2,2784,Hit Object,5.0,2.5,9.0,9.0,70,0,3130,3,1.0,0,0,0,0,0,0
Row_3,3360,Hit Object,5.0,2.5,9.0,9.0,6,0,3706,3,1.0,0,0,0,0,0,0
Row_4,3937,Hit Object,5.0,2.5,9.0,9.0,37,4,0,0,1.0,0,0,0,0,0,0
Row_5,4167,Hit Object,5.0,2.5,9.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_6,4398,Hit Object,5.0,2.5,9.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_7,4630,Hit Object,5.0,2.5,9.0,9.0,6,0,4976,3,1.0,0,0,0,0,0,0
Row_8,5207,Hit Object,5.0,2.5,9.0,9.0,38,0,5553,3,1.0,0,0,0,0,0,0
Row_9,5783,Hit Object,5.0,2.5,9.0,9.0,5,4,0,0,1.0,0,0,0,0,0,0
Row_10,6013,Hit Object,5.0,2.5,9.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_11,6244,Hit Object,5.0,2.5,9.0,9.0,1,4,0,0,1.0,0,0,0,0,0,0
Row_12,6476,Hit Object,5.0,2.5,9.0,9.0,38,0,6649,1,1.0,0,0,0,0,0,0
Row_13,6707,Hit Object,5.0,2.5,9.0,9.0,2,0,6822,1,1.0,0,0,0,0,0,0
Row_14,6937,Hit Object,5.0,2.5,9.0,9.0,2,0,7110,1,1.0,0,0,0,0,0,0
Row_15,7168,Hit Object,5.0,2.5,9.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_16,7284,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_17,7284,Hit Object,5.0,2.5,9.0,9.0,2,0,7399,1,1.0,0,0,0,0,0,0
Row_18,7514,Hit Object,5.0,2.5,9.0,9.0,2,0,7629,1,1.0,0,0,0,0,0,0
Row_19,7745,Hit Object,5.0,2.5,9.0,9.0,5,0,0,0,1.0,0,0,0,0,0,0
Row_20,7860,Hit Object,5.0,2.5,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_21,7976,Hit Object,5.0,2.5,9.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_22,8091,Hit Object,5.0,2.5,9.0,9.0,1,0,0,0,1.0,0,0,0,0,0,0
Row_23,8317,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_24,8322,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_25,8322,Hit Object,5.0,2.5,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_26,8437,Hit Object,5.0,2.5,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_27,8548,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_28,8553,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_29,8553,Hit Object,5.0,2.5,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_30,8668,Hit Object,5.0,2.5,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_31,8779,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_32,8784,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_33,8784,Hit Object,5.0,2.5,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_34,8899,Hit Object,5.0,2.5,9.0,9.0,1,8,0,0,1.0,0,0,0,0,0,0
Row_35,9009,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_36,9014,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_37,9014,Hit Object,5.0,2.5,9.0,9.0,2,0,9187,3,1.0,0,0,0,0,0,0
Row_38,9067,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_39,9072,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_40,9240,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
Row_41,9245,Timing Point,5.0,2.5,9.0,9.0,0,0,0,0,0,0,0,-33.3333333333333,4,0,0
