Name,TimestampMS,EntryType,HPDrainRate,CircleSize,OverallDifficulty,ApproachRate,HitObjectType,HitSound,SliderEndTimeMS,Repeats,SliderTickRate,BreakEndTimeMS,Uninherited,BeatLength,Meter,Effects,AudioBeatStrength
Row_0,2784,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,1,461.538461538462,4,0,0
Row_1,2784,Hit Object,5.0,3.9,8.6,9.2,69,12,0,0,1.0,0,0,0,0,0,0
Row_2,2899,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_3,3014,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_4,3130,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_5,3361,Hit Object,5.0,3.9,8.6,9.2,5,12,0,0,1.0,0,0,0,0,0,0
Row_6,3477,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_7,3592,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_8,3707,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_9,3937,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-400.0,4,0,0
Row_10,3937,Hit Object,5.0,3.9,8.6,9.2,38,0,4398,2,1.0,0,0,0,0,0,0
Row_11,4630,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-100.0,4,0,0
Row_12,4630,Hit Object,5.0,3.9,8.6,9.2,5,12,0,0,1.0,0,0,0,0,0,0
Row_13,4745,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_14,4860,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_15,4976,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_16,5207,Hit Object,5.0,3.9,8.6,9.2,37,12,0,0,1.0,0,0,0,0,0,0
Row_17,5323,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_18,5438,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_19,5553,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_20,5784,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-400.0,4,0,0
Row_21,5784,Hit Object,5.0,3.9,8.6,9.2,6,0,6245,2,1.0,0,0,0,0,0,0
Row_22,6476,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-100.0,4,0,0
Row_23,6476,Hit Object,5.0,3.9,8.6,9.2,38,0,6706,1,1.0,0,0,0,0,0,0
Row_24,6937,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_25,7053,Hit Object,5.0,3.9,8.6,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_26,7168,Hit Object,5.0,3.9,8.6,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_27,7284,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-125.0,4,0,0
Row_28,7284,Hit Object,5.0,3.9,8.6,9.2,2,0,7399,1,1.0,0,0,0,0,0,0
Row_29,7514,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-100.0,4,0,0
Row_30,7514,Hit Object,5.0,3.9,8.6,9.2,6,0,7744,1,1.0,0,0,0,0,0,0
Row_31,7860,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_32,7976,Hit Object,5.0,3.9,8.6,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_33,8091,Hit Object,5.0,3.9,8.6,9.2,1,0,0,0,1.0,0,0,0,0,0,0
Row_34,8207,Hit Object,5.0,3.9,8.6,9.2,1,8,0,0,1.0,0,0,0,0,0,0
Row_35,8317,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-100.0,4,0,0
Row_36,8322,Timing Point,5.0,3.9,8.6,9.2,0,0,0,0,0,0,0,-100.0,4,0,0
Row_37,8322,Hit Object,5.0,3.9,8.6,9.2,37,8,0,0,1.0,0,0,0,0,0,0
